clinic,area,phone,email,website,owner,status,notes
Sunn Tannhelseklinikk,Lillestrøm,+47 63 81 88 98,post@sunntannhelse.no,sunntannhelse.no,,ready,e-post funnet
Lillestrøm Tannklinikk og Tannlegevakt,Lillestrøm,+47 63 81 81 43,h.g@hotmail.no,lillestromtannlegevakt.no,,ready,privat gmail – vurder kontaktskjema i stedet
Tannlegehuset Lillestrøm AS,Lillestrøm,+47 90 48 82 82,hei@tannlegehusetlillestrom.no,tannlegehusetlillestrom.no,,I clinics.csv,allerede i e-postkø
Kjeller Tannhelse,Kjeller,+47 63 81 36 76,post@kjellertannhelse.no,kjellertannhelse.no,,ready,e-post funnet
Strømmen Tannklinikk Pluss,Strømmen,+47 97 34 30 88,,,Majid Rahimi,finn kontakt,ingen nettside/e-post – ring
Tannlegene i Concordiabygget,Lillestrøm,+47 63 80 55 77,,,,finn kontakt,ingen nettside/e-post – ring
Skedsmokorset Tannhelsesenter,Skedsmokorset,+47 63 87 94 00,post@skedsmotann.no,skedsmokorsettannhelsesenter.no,,I clinics.csv,allerede i e-postkø
Skedsmosenter Tannlegekontor,Skedsmokorset,+47 63 87 61 26,,,,finn kontakt,ingen nettside/e-post – ring
Clear Tannlegesenter,Drammen,+47 23 65 43 43,post@cleartannlegesenter.no,cleartannlegesenter.no,,I clinics.csv,allerede i e-postkø
Holmlia Tannlegesenter (Helsehus),Holmlia,+47 21 68 67 68,,,,finn kontakt,ingen nettside/e-post – ring
Tannstudio Drammen,Drammen,+47 47 65 11 11,post@tannstudiodrammen.no,tannstudiodrammen.no,,ready,e-post funnet
Fjellhamar Tannlegesenter,Fjellhamar / Lørenskog,+47 98 66 66 90,,,Emal Mangal,finn kontakt,i no-website-clinics.csv – ring
Drammen Tannhelsesenter,Drammen,+47 40 07 00 26,,,,finn kontakt,e-post ikke funnet – ring
Hvite Smil AS,Drammen,+47 32 83 38 72,mail@hvitesmil.no,hvitesmil.no,,ready,e-post funnet
Holmliatannlegene,Holmlia,+47 22 61 42 08,adm@holmliatannlegene.no,holmliatannlegene.no,,I clinics.csv,allerede i e-postkø (Holmlia Tannlegekontor)
Drammen tannlegesenter (Viken Tannregulering),Drammen,+47 32 83 60 00,,,,finn kontakt,tannregulering – ring
Tannlegeteam Linderud,Linderud / Groruddalen,+47 22 65 57 77,linderud@tannlegeteam.no,tannlegeteam.no,,ready,e-post funnet
Rødtvedt Tannhelsesenter AS,Rødtvet / Groruddalen,+47 22 25 39 01,post@rodtvedttannhelse.no,rodtvedttannhelse.no,,ready,e-post funnet
Kalbakken Tannlegesenter AS,Kalbakken / Groruddalen,+47 22 25 34 74,postmaster@kalbakken-tannlege.no,kalbakken-tannlege.no,,I clinics.csv,allerede i e-postkø
Ammerud Tannklinikk,Ammerud / Groruddalen,+47 22 25 37 76,post@ammerudtannlege.no,ammerudtannlege.no,,I clinics.csv,allerede i e-postkø
Groruddalen Tannlegesenter (GDTS),Kalbakken / Groruddalen,+47 92 02 92 02,post@gdts.no,groruddalentannlegesenter.no,,I clinics.csv,allerede i e-postkø
