name,orgnr,form,ansatte,nace,website,email
ANKA RENHOLD AS,932359995,AS,5,81.210,ankarenhold.no,post@ankarenhold.no
CLEANNORDIC AS,936442420,AS,5,81.210,cleannordic.no,post@cleannordic.no
OSLO BYGG OG BOLIGSERVICE AS,946063029,AS,5,81.210,obbs.no,post@obbs.no
TITAN SERVICE AS,981131452,AS,5,81.210,titan.no,post@titan.no
VERMA RENHOLD AS,931266942,AS,5,81.210,vermarenhold.com,hei@vermarenhold.com
NORSK VENTILASJONS RENHOLD AS,977193915,AS,5,81.220,www.nvr.as,post@nvr.as
CITYCLEAN Kulasegaram,989947710,ENK,0,81.210,www.cityclean.no,mail@cityclean.no
DIN NABO RENHOLD OG DRIFT AS,987404213,AS,0,81.210,www.renhold1.no,post@renhold1.no
FLYN AS,936645216,AS,0,81.210,flyn.no,info@flyn.no
FLYTTEVASK OSLO NUF,914354579,NUF,0,81.210,www.flyttevask-oslo.no,info@flyttevask-oslo.no
MACINN SAGAYATHASAN,986404015,ENK,0,81.210,www.macinn.no,post@macinn.no
MAXIRENT AS,971229896,AS,0,81.210,www.maxirent.no,post@maxirent.no
NOVACLEAN AS,929437942,AS,0,81.210,www.novaclean.no,post@bankrupt.no
OLIVIA RENHOLD ROSZYK,926383191,ENK,0,81.210,www.oliviarenhold.no,post@oliviarenhold.no
REN HUB AS,926886452,AS,0,81.210,www.renhub.no,post@renhub.no
SERVICEPARTNEREN AS,926368222,AS,0,81.210,www.servicepartneren.no,kontakt@servicepartneren.no
RENFAS AS,935362903,AS,0,81.220,www.renfas.no,post@renfas.no
ISS FACILITY SERVICES AS,914791723,AS,7482,81.210,,
4SERVICE EIR RENHOLD AS,917719993,AS,3908,81.210,,
CARES WORKPLACE SERVICES AS,932144336,AS,671,81.210,www.sodexo.no,
ISS SERVICE MANAGEMENT AS,931620207,AS,543,81.210,,
EVAT AS,927695863,AS,349,81.210,,
POLYGON AS,915229115,AS,349,81.220,www.polygongroup.no,
HVASS AS,886938772,AS,293,81.210,,
ISS MANAGEMENT AS,992097841,AS,85,81.210,,
TRYGG RENHOLD AS STOR-OSLO,923291628,AS,70,81.210,,
FLYTTEVASK AS,929611381,AS,61,81.210,,
ELSA VEDLIKEHOLD AS,927410516,AS,39,81.210,,
RYDJE RENHOLD HEDMARK/OPPLAND AS,998066182,AS,35,81.210,,
LYKKE MARIT AS,934615654,AS,34,81.210,www.lykkehjemme.no,
OSLO RENHOLDSTJENESTER AS,933787109,AS,30,81.210,,
UNICORN HOSPITALITY GROUP AS,820640802,AS,29,81.210,,
CLEAN HOUSE AS,917994102,AS,24,81.210,,
ABSOLUTT RENT AS,933001466,AS,23,81.210,,
AQUA RENHOLD AS,979897529,AS,23,81.210,www.aqua.renhold.no,
PRIMA RENHOLD AS,984867700,AS,23,81.210,www.primarenhold.no,
MILJØ RENHOLDSTJENESTER AS,998916755,AS,22,81.210,,
FORTRINN DRIFT AS,827050032,AS,21,81.210,,
RENOFIX AS,987931574,AS,21,81.210,renofix.no,
1 OSLO RENHOLDSSERVICE AS,929032470,AS,19,81.210,,
FASILITETSTJENESTEN AS,917592675,AS,17,81.210,,
SWEDAA RENHOLD V/ Srithanabalasingam,985467242,ENK,17,81.210,,
EKORN RENHOLD AS,932388634,AS,16,81.210,,
MOPP AS,931204688,AS,16,81.210,,
RENCONOR AS,999327605,AS,16,81.210,www.renconor.no,
SK-SERVICE OSLO AS,928766454,AS,16,81.210,,
SOLID EIENDOMSDRIFT AS,926419471,AS,16,81.210,,
ATR CLEANING SERVICES AS,920711294,AS,14,81.210,,
DIAMOND RENHOLD AS,992946091,AS,14,81.210,,
GOD RENHOLD SERVICE AS,912510735,AS,13,81.210,,
HJØRNET FIRMA SERVICE AS,916195990,AS,12,81.210,,
JK MULTISERVICE AS,933036766,AS,12,81.210,,
OSLO RENHOLDSKOMPANI ACM AS,998523990,AS,12,81.210,,
MR MALIK RENHOLDSSERVICE AS,981882571,AS,11,81.210,,
SKY FACILITY DRIFT AS,930893307,AS,11,81.210,,
VESTKANT RENHOLD FARHAN,930978949,ENK,11,81.210,,
CREAMAN AS,919185597,AS,10,81.210,creaman.no,
EURO CLEAN AS,999313752,AS,10,81.210,,
OSLO SERVICE PARTNER AS,934643240,AS,10,81.210,,
REN TJENESTE AS,933334481,AS,10,81.210,rentjeneste.no,
KOMPLETT SERVICE PARTNER AS,998823927,AS,9,81.210,,
KVALITET-RENHOLD AS,929984994,AS,9,81.210,,
NORD2 CHELCEA,926704079,ENK,9,81.210,,
NORSK SERVICE DRIFT AS,969074818,AS,9,81.210,norsk-vask.no,
SERVICE-FOLK AS,930460958,AS,9,81.210,,
T.B. RENHOLD AS,922699364,AS,9,81.210,,
RE-FRESH SERVICES AS,918297715,AS,9,81.220,re-fresh.no,
ABSOLUTT RENGJØRING AS,986191763,AS,8,81.210,,
BRILANT AS,936227791,AS,8,81.210,,
CLEAN TEAM RENHOLD AS,993784486,AS,8,81.210,,
PLAN MULTISERVICE AS,931406434,AS,8,81.210,,
TURAN RENHOLD AS,932891034,AS,8,81.210,,
NIWI MILJØTILTAK AS,964280592,AS,8,81.220,niwi.no,
BLOMSTERTORGET OSLO AS,833393472,AS,7,81.210,,
G&P SERVICE AS,998880750,AS,7,81.210,,
HIMLA RENT RENHOLD AS,936979785,AS,7,81.210,,
MER VEDLIKEHOLD AS,937464460,AS,7,81.210,,
MILI RENHOLD AS,923032290,AS,7,81.210,,
RENPRO AS,819970602,AS,7,81.210,renhold.shop,
TOP RENHOLD AS,997892674,AS,7,81.210,,
BLOMSTER RENHOLD AS,929478444,AS,6,81.210,,
BLU RENHOLD AS,928483940,AS,6,81.210,,
MANNSKAP AS,921284527,AS,6,81.210,,
MK RENHOLD UP AS,932731614,AS,6,81.210,,
NORDIC FM GROUP AS,932134594,AS,6,81.210,,
POWER PLAY AS,996872106,AS,6,81.210,,
PSS PROFESSIONAL SERVICE SOLUTION AS,914141672,AS,6,81.210,,
RENHOLD ENGROS AS,919072989,AS,6,81.210,www.renholdengros.no,
VASKEHJELP CINDERELLA AS,935079810,AS,6,81.210,,
ALFA FASADE AS,925378577,AS,6,81.220,,
BARE RENHOLD SERVICE AS,918398341,AS,5,81.210,,
ECO RENHOLD AS,916530226,AS,5,81.210,www.ecorenhold.no,
FUICA MULTISERVICE AS,992237988,AS,5,81.210,,
JT SERVICE JUSTYNA TRACZYK,918933700,ENK,5,81.210,,
KLAR RENHOLD AS,935747945,AS,5,81.210,,
KLAVS,931361449,ENK,5,81.210,,
LORENHOLD AS,924584203,AS,5,81.210,limpio.cleaning,
NIRO SERVICE ALT INNEN RENHOLD AS,913857968,AS,5,81.210,,
NORSK RENHOLD AS,935540623,AS,5,81.210,,
RENHOLDSKOMPANIET AS,931954024,AS,5,81.210,renholdskompaniet.no,
1 TOUCH 5 STARS PISULA,926688405,ENK,0,81.210,,
2FAST2CLEAN VINCENZO GIUSEPPE ZAPPALA,912741443,ENK,0,81.210,,
A NASTITI,835096432,ENK,0,81.210,,
A SZYCHOWSKA TJENESTER,919021438,ENK,0,81.210,,
A-RENHOLD BOSNJAKOVIC,921421095,ENK,0,81.210,,
A18 RENHOLD SERVICES SANDRA TORO CALDONO,933759040,ENK,0,81.210,,
AB MJÄLLBY MÅLNING & BL V/PWC SKATTERÅDGIVERE AS,996350533,NUF,0,81.210,,
AB TEAM RENHOLD SERVICE AGNIESZKA JOHNSEN,914930987,ENK,0,81.210,,
ABBI RENHOLD ABDERRAHIM MOUNJI,997137663,ENK,0,81.210,,
ABDIRAHMAN YABAROW,924540567,ENK,0,81.210,,
ABEDIY VASKEHJELPEREN,934436032,ENK,0,81.210,,
ABROAD PROPERTY CARE SERVICES ARAUJO DA CONCEICAO,931087495,ENK,0,81.210,,
ACHIVE QUALITY MOHAMED CLEANING,937662157,ENK,0,81.210,,
ACTRA - FRAM RENHOLD V/HIRSCH INNGÅR I DØDSBO,985175179,ENK,0,81.210,www.actra.no,
ADAM RENHOLD PETER CHR ADAMSEN,970481699,ENK,0,81.210,,
ADEEL BABAR,995745623,ENK,0,81.210,,
ADHIKARI XYZ,934875826,ENK,0,81.210,,
ADMINEXPERT MIERZYNSKA,995297809,ENK,0,81.210,,
ADRIEN FENYVESI',924926961,ENK,0,81.210,,
AE RENHOLD Alexandrina Andreica Alina,996460827,ENK,0,81.210,,
AEM SERVICE AS,918414924,AS,0,81.210,,
AF RENGJØRING ANS,950085894,ANS,0,81.210,,
AG RENHOLD ANDREICA STELIANA ANDREA,998309182,ENK,0,81.210,,
AGA RENGJØRING AGNIESZKA SOLECKA,815463552,ENK,0,81.210,,
AGA RENHOLD STEPIEN,931013718,ENK,0,81.210,,
AGAFITEI ELENA,926635638,ENK,0,81.210,,
AGATA'S RENHOLD Agata Broclawska,887667802,ENK,0,81.210,,
AGNES-RENHOLD AGNIESZKA MICHALINA BOGUTA,919934956,ENK,0,81.210,,
AGUIAR,932559528,ENK,0,81.210,,
AHMED BOUTALISS,927223279,ENK,0,81.210,,
AJ CAMASURA RENHOLD,927654237,ENK,0,81.210,,
AKTIV RENHOLD OG OPPUSSING DA,990810184,DA,0,81.210,,
AKTIVE-RENHOLDSTJENESTER AS,932397978,AS,0,81.210,,
AL-ALI OMAR,933899314,ENK,0,81.210,,
AL-SOWADI GOLDEN,837022002,ENK,0,81.210,,
ALB RENHOLD AS,936863345,AS,0,81.210,,
ALBERSKA JOLANTA MARIA,815512782,ENK,0,81.210,,
ALCINA RENHOLD ALCINA MARIA PACHECO DE VASCONCELOS,897854422,ENK,0,81.210,,
ALCOR AS KONKURSBO,937265743,KBO,0,81.210,,
ALDUJAILI LUXE RENHOLD,937770804,ENK,0,81.210,,
ALDW OSLO SERVICE,936022456,ENK,0,81.210,,
ALEKSANDRA ABRAMIUK,930309370,ENK,0,81.210,,
ALEKSANDRA UZDOWSKA RENHOLDSSELSKAP,915044905,ENK,0,81.210,,
ALF HANSEN RENHOLDSERVICE,870132492,ENK,0,81.210,,
ALFA GMBH,937443315,NUF,0,81.210,,
ALI LAMIA RENHOLD,999204570,ENK,0,81.210,,
ALL RENHOLD AS,936294588,AS,0,81.210,,
ALLE ELSKER RENHOLD GRINDVIK,936946968,ENK,0,81.210,,
ALMAR JARCZAK,817631312,ENK,0,81.210,,
ALONSO MULTISERVICES JARA GUTIERREZ,935393221,ENK,0,81.210,,
ALSALAMA VASKEHJELP .NO,934035291,ENK,0,81.210,,
ALSHAWA VEDLIKEHOLD OG VASK,931137786,ENK,0,81.210,,
ALSHEIKHO MULTI SERVICE,933993507,ENK,0,81.210,,
ALTINI RENHOLD AS,931215221,AS,0,81.210,,
ALTURA CLEAN SERVICES OLMOS PARRA,915286933,ENK,0,81.210,,
AMALIE RENHOLD OG VEDLIKEHOLD HANNE C NILSEN OG ARNE DAHLSENG DA,983936997,DA,0,81.210,,
AMANDA HELLING,833184172,ENK,0,81.210,,
AMLAK FRISKSTART SERVICE,934478223,ENK,0,81.210,,
AMMAR BADIE HAMMOUD,925858196,ENK,0,81.210,,
ANANDA RENHOLD,928082008,ENK,0,81.210,,
ANCA LISIEVICI,926925601,ENK,0,81.210,,
ANCAN SERVICE Anders Nilsson,960266633,ENK,0,81.210,,
ANDRESEN ESTER RUDE,970135782,ENK,0,81.210,,
ANDRESEN GUNNAR ROGER,970385452,ENK,0,81.210,,
ANGEL LØVLIE HOUSE CLEANING SERVICE,934826752,ENK,0,81.210,,
ANGELIKA BARANEK RENHOLD,916093713,ENK,0,81.210,,
ANGELIKA TOMCZYK,924575786,ENK,0,81.210,,
ANGELIKA ZIELINSKA,912107132,ENK,0,81.210,,
ANGIE MAE DOSDOS BASUBAS,934189140,ENK,0,81.210,,
ANIDER - ALT I ETT ANGEL MANUEL ANIORTE SELVA,922999171,ENK,0,81.210,,
ANKE STUDIO,937713886,ENK,0,81.210,,
ANNA KRAWCZYK,998835666,ENK,0,81.210,,
ANNA RENHOLD Anna Sawiczuk-Siemaszko,992627735,ENK,0,81.210,,
ANNA RENHOLD Anna Wiechcinska,993361534,ENK,0,81.210,,
ANNA ZOFIA MACHLEWSKA,911748800,ENK,0,81.210,,
ANNAKSERVICE ZANETA ANNA KUPKA,999059163,ENK,0,81.210,,
ANNAS RENHOLD ANNA TOMASZEWSKA - KOTYRA,925100110,ENK,0,81.210,,
ANNE ELISABETHS RENHOLD Anne E Preus,976983203,ENK,0,81.210,,
ANTHONIPILLAI WILSON,933766896,ENK,0,81.210,,
AO RENGJØRINGS- OG VEDLIKEHOLDSSENTRALEN OIVA JARVA,911811898,ENK,0,81.210,,
AP RENHOLD PLEWA,918653783,ENK,0,81.210,,
APEXX AS KONKURSBO,936626033,KBO,0,81.210,,
APURE AS,936269125,AS,0,81.210,,
AR RENHOLD Raveendranathan,989453645,ENK,0,81.210,,
ARANDIA SERVICE & VEDLIKEHOLD DA,988483346,DA,0,81.210,,
ARJOLA JUSHI,936150799,ENK,0,81.210,,
ARMANI SERVICE,990488347,ENK,0,81.210,,
ARNE BERGESEN RENHOLDSSERVICE,970293159,ENK,0,81.210,,
ARNE KILDALS MULTISERVICE ARNE KILDAL,892015422,ENK,0,81.210,,
ARNE WILSGÅRD RENHOLD,970132112,ENK,0,81.210,,
ARSLAN UTVASK,927971755,ENK,0,81.210,,
ARYAL TARAPATI,930680060,ENK,0,81.210,,
ASHOK REDDY KAKUTURU,912074587,ENK,0,81.210,,
ASSAF HOLDING AS,921694059,AS,0,81.210,,
ASTER ALLSIDIG,934781821,ENK,0,81.210,,
ASTRID SERVICES ALINA MARIN,924579773,ENK,0,81.210,,
ATELIER ESTETIC BY MARAS,931012487,ENK,0,81.210,,
ATH VEDLIKEHOLD AS,922196125,AS,0,81.210,,
ATLAS HANDEL AS,926827278,AS,0,81.210,,
ATTIA VASKE PLANET,935238676,ENK,0,81.210,,
AUGUSTO,933811182,ENK,0,81.210,,
AUGUSTO PERFECT TOUCH,935287332,ENK,0,81.210,,
AURDALS VINDUSVASK OG RENHOLD,914228778,ENK,0,81.210,,
AYNI CORCHUELO ARIAS,933107663,ENK,0,81.210,,
BADA VEDLIKEHOLD,931967525,ENK,0,81.210,,
BALAGESAN RENHOLD Balagesan Balasubramaniam,994709798,ENK,0,81.210,,
BANOVA RENHOLD,927603950,ENK,0,81.210,,
BARBARA RENHOLD BARBARA AGNIESZKA KUBRAK,915982212,ENK,0,81.210,,
BARTOLO STAR BRIGHT CLEANING SERVICES,929913191,ENK,0,81.210,,
BARYALAY MOHAMEDI,926687085,ENK,0,81.210,,
BAYASGALAN TSERENJAV,927634376,ENK,0,81.210,,
BB BYGG & RENHOLD BOLESTA,828882902,ENK,0,81.210,,
BEATA MAJCHER,820996372,ENK,0,81.210,,
BEATA RENHOLD CHUDAK,925179841,ENK,0,81.210,,
BEATA ZAMOROWSKA & PARTNERS,925753335,ENK,0,81.210,,
BECLA DOROTHEA,918160159,ENK,0,81.210,,
BECLEAN. MILJUKOVA,925467960,ENK,0,81.210,,
BELLA-IN RENHOLD  Pilawska,994212842,ENK,0,81.210,,
BENSAAD SERVICE,936080448,ENK,0,81.210,,
BERGERSEN MOE INVEST AS,912755525,AS,0,81.210,,
BERNICE YAMOAH,924555408,ENK,0,81.210,,
BESSON AS,923739017,AS,0,81.210,,
BEST RENHOLD KATE AS,937201370,AS,0,81.210,,
BEST RENHOLD PAULINA MUSIAL,913761863,ENK,0,81.210,,
BEST SERVICE GALIK,918377190,ENK,0,81.210,,
BEST.NO AS,914288851,AS,0,81.210,,
BIBERS IBRAHIM,926663496,ENK,0,81.210,,
BIDRO,935380510,ENK,0,81.210,,
BINKIEWICZ RENTHUS,925164801,ENK,0,81.210,,
BIRHANE RENHOLD,994518046,ENK,0,81.210,,
BISLETT RENHOLD SALLAT,925975850,ENK,0,81.210,,
BITANYE RENHOLD,937919158,ENK,0,81.210,,
BJERKE RENHOLDSTJENESTER AS,912192768,AS,0,81.210,,
BJØRG RUSÅNES,986963766,ENK,0,81.210,,
BK RENHOLD,932956411,ENK,0,81.210,,
BLINCO SERVICES,927637383,ENK,0,81.210,,
BLÅ RENHOLD HYJEK,929389727,ENK,0,81.210,,
BM ROGALA-LACKOWSKA,999656382,ENK,0,81.210,,
BNSERVICE BALAMURALI NAVARATNARAJAH,918281002,ENK,0,81.210,,
BOAKYE-ACHEAMPONG RENHOLD,928633578,ENK,0,81.210,,
BOATWASHER NORGE DA,987098791,DA,0,81.210,,
BOBLE GUTTA KOZANLI,933553558,ENK,0,81.210,,
BOBULA CLEANING,929478908,ENK,0,81.210,,
BOCZON MAGIC WAND,930271667,ENK,0,81.210,,
BODEA CLEAN,923635211,ENK,0,81.210,,
BOROWIECKACLEAN AGNIESZKA ZAMOJSKA-BOROWIECKA,915178502,ENK,0,81.210,,
"BOSS HOLDENS, CHUKWU",916004028,ENK,0,81.210,,
BRUNA ALEXANDRA PEREIRA CABRAL,926040987,ENK,0,81.210,,
BS EVEREST AS,828763342,AS,0,81.210,,
BUBBLELAB RENHOLD RIZVI,936996663,ENK,0,81.210,,
BUILD & SHINE Rataj,988305030,ENK,0,81.210,,
BULDAK RENHOLD,935217148,ENK,0,81.210,,
BW PIOR,918067566,ENK,0,81.210,,
BYGG OG RENHOLD CIBOROWSKA,932841479,ENK,0,81.210,,
BÆRRENGJØRING KAMINSKA,921740670,ENK,0,81.210,,
BØLER RENHOLD DA,998914957,DA,0,81.210,,
BØTTEBALLETTEN BENTE LANGBAKK,970146806,ENK,0,81.210,,
C&G SERVICE LETELIER CONTARDO,936670601,ENK,0,81.210,,
CABALLERO RENHOLD,925804215,ENK,0,81.210,,
CAD RENHOLD V NESJEM,922579008,ENK,0,81.210,,
CALIMLIM BPA OG RENGJØRING,995752662,ENK,0,81.210,,
CALIN'S HAGESERVICE OG RENHOLD,994706802,ENK,0,81.210,,
CALLING THE KLUT - Marco Alves,896576682,ENK,0,81.210,,
CANO,830821112,ENK,0,81.210,,
CAPITOL III AS,915856322,AS,0,81.210,,
CARLOS M CARLOS HUMBERTO MUNOZ RAMIREZ,996709299,ENK,0,81.210,,
CARLOS MOJENA FERRER,931681613,ENK,0,81.210,,
CASTILLE ATLANTIC INC. NUF,936227945,NUF,0,81.210,,
CHARIE BADA SERVICES,926608134,ENK,0,81.210,,
CHEIKH SALL DERE,922092451,ENK,0,81.210,,
CHINONSO JOY OBIKE,929243463,ENK,0,81.210,,
CHODAK RENHOLD,936125476,ENK,0,81.210,,
CHOI RENHOLD,935093511,ENK,0,81.210,,
CHRISTENSEN TOTALITY CLEANING & SERVICE,935888034,ENK,0,81.210,,
CHRISTI KNUDSEN CONSULTING,922014264,ENK,0,81.210,,
CHRISTIANIA RENHOLD OSLO CENDRIM DASI,921323980,ENK,0,81.210,www.christianiarenhold.no,
CHRZANOWSKA CLEANING,932827352,ENK,0,81.210,,
CHUQUI RENHOLD ANGELICA LOPEZ GUERRERO,821474442,ENK,0,81.210,,
CIDE RENHOLD SAID EL HAJOUI,919585595,ENK,0,81.210,,
CIESLEWICZ RENHOLD,916706979,ENK,0,81.210,,
CINDERELLA RENHOLD AS KONKURSBO,934977130,KBO,0,81.210,,
CINDERELLA RENHOLD KACZOROWSKA,916687001,ENK,0,81.210,,
CINICIENTA KOSAKOWSKA,920920187,ENK,0,81.210,,
CISSE ROKI RENHOLD,934645723,ENK,0,81.210,,
CITY RENHOLD AS,927856107,AS,0,81.210,,
CITY SERVICE EKICI,937032196,ENK,0,81.210,,
CJ RENHOLD OG HJEMMEHJELP SERVICE DA,814781712,DA,0,81.210,,
CLAUDIA PLASZCZAK RENHOLD,924698047,ENK,0,81.210,,
CLEAN DAV&KAM RYSZKOWSKA,922617902,ENK,0,81.210,,
CLEAN FOR YOU MALGORZATA TOMASIUK,922533660,ENK,0,81.210,,
CLEAN HOLDING AS,893776702,AS,0,81.210,,
CLEAN HOUSE MARZENA WYDRZYNSKA,999134017,ENK,0,81.210,,
CLEAN LIVING JOR GONZALES,929956664,ENK,0,81.210,,
CLEAN-TECH DA,955921429,DA,0,81.210,,
CLEAN&SHINE EWELINA LASKOWSKA,932717492,ENK,0,81.210,,
CLEAN4YOU EWA KRAWCZYNSKA,925214310,ENK,0,81.210,,
