clinic,city,phone,website,email,status
"Abelgården Tannklinikk AS","Trondheim","73 53 28 16","https://abelgardentannklinikk.no/","post@abelgardentannklinikk.no","ok"
"Ranheim tannklinikk","Trondheim","74 17 58 88","","","ingen nettside"
"Tannklinikken Dent - Trondheim","Trondheim","73 80 55 10","https://dent.as/","info@dent.as","ok"
"Tannlege Hanne Bach","Trondheim","73 52 87 44","http://www.abc-tannklinikken.no/","","ingen e-post funnet"
"Eliassen Tannhelse - Tannlege Trondheim","Trondheim","72 60 60 30","","","ingen nettside"
"Tannlege Trond Holstad AS Tannregulering","Trondheim","73 50 50 23","","","ingen nettside"
"Tannlegegården","Trondheim","73 89 98 00","","","ingen nettside"
"Tanngarden","Trondheim","","","","ingen nettside"
"Tannlege Anne Kathrine Lehn","Trondheim","72 60 60 30","","","ingen nettside"
"Angelltrøa tannklinikk v/Jan Olav Nilsen","Trondheim","73 91 67 90","https://www.angelltann.no/","","ingen e-post funnet"
"Tannlege Leif Henrik Borge Olsen AS","Trondheim","95 88 89 77","","","ingen nettside"
"Tannreg AS","Trondheim","73 52 54 88","","","ingen nettside"
"Thorleif Weie","Trondheim","95 23 67 15","","","ingen nettside"
"Kjell Tannlege Ulsund AS","Trondheim","73 56 88 00","","","ingen nettside"
"Tannlege Øvrelid","Trondheim","73 80 95 30","http://tannlegeovrelid.no/","","ingen e-post funnet"
"Tore Bjørndal Ulstein Tannlege","Trondheim","73 53 28 16","https://tannlege.nu/trondheim/tannlege-tore-bjorndal-ulstein/","","ingen e-post funnet"
"Østervågtannlegene - Tannlege i Stavanger","Stavanger","51 89 50 80","http://otann.no/","post@otann.no","ok"
"Leüthenhaven P-hus","Trondheim","73 10 98 80","http://trondheimparkering.no/","post@trondheimparkering.no","ok"
"Tannlegene Sveinsson & Moen","Drammen","32 84 60 52","http://www.liertannlegene.no/","","ingen e-post funnet"
"Sammen Tannhelse","Bergen","55 54 52 63","https://www.sammen.no/no/bergen/helse/tannlege","","ingen e-post funnet"
"Apollonia Tannlegesenter","Stavanger","95 98 68 56","https://apolloniadental.no/","post@bykronen-dental.no","ok"
"Tannlegeklinikken tre Kronor","Trondheim","73 52 52 21","https://www.trekronor.no/","midtbyen@tytannklinikk.no","ok"
"Tannlege Hans Kristian Ognedal","Stavanger","51 52 03 17","http://www.bratann.no/","post@bykronen-dental.no","ok"
"Tannlege Geir Tidemann Førland","Stavanger","51 85 60 30","","","ingen nettside"
"Tannlege Stig Ohm","Stavanger","51 53 75 40","","","ingen nettside"
"Tor Oldrik Einarsen Tannlege","Stavanger","51 85 60 30","","","ingen nettside"
"Tannlege Janette Serene Galdal Hansen","Stavanger","51 55 89 00","","","ingen nettside"
"Tannlegene Nag & Prokes","Stavanger","51 52 12 23","http://nogp.no/","post@nogp.no","ok"
"Lene Bøe Tannlege Burgaard","Stavanger","","","","ingen nettside"
"Hillevågstannlegene","Stavanger","51 82 72 72","https://hillevagstannlegene.no/","","ingen e-post funnet"
"Sletten Tannlegesenter","Bergen","55 27 30 90","http://www.slettentannlegesenter.no/","","ingen e-post funnet"
"Jone Heggheim Tannlege","Stavanger","40 46 28 92","https://booking.bykronen-dental.no/jone-heggheim","support@cal.com","ok"
"Stavanger Tann- og Kjeveklinikk","Stavanger","51 53 01 99","https://stavangertann.no/","post@stavangertann.no","ok"
"Tannlegene på Sølvberget AS","Stavanger","51 22 49 15","http://www.perleraden.net/","post@perleraden.net","ok"
"Tannlege Christian Tønnessen AS","Stavanger","51 55 55 45","","","ingen nettside"
"Tannlege Anne Live Omholt","Stavanger","51 56 59 00","http://tannklinikkomholtlie.no/","tastatannklinikk@gmail.com","ok"
"Tannlegene i Centralgaarden","Stavanger","51 89 30 60","http://www.centralgarden.no/","post@velvaregarden.no","ok"
"Bjørn Mølster","Stavanger","51 89 42 43","","","ingen nettside"
"Valentinlyst Tannlegekontor","Trondheim","73 91 13 13","https://valentinlysttannlegekontor.no/","","ingen e-post funnet"
"Tannlege Tore Tjosevik AS","Stavanger","51 57 14 98","","","ingen nettside"
"Tannleger","Stavanger","","","","ingen nettside"
"Stokkaveien tannlegekontor","Stavanger","51 52 50 70","http://www.stokkatann.no/kontakt","","ingen e-post funnet"
"Tannlege Marke Franca","Stavanger","51 57 14 98","","","ingen nettside"
"Sander & Büchner ANS","Stavanger","51 89 50 80","","","ingen nettside"
"Tannlegene i St. Olav","Stavanger","51 52 84 52","http://www.tisto.no/kontakt","post@tisto.no","ok"
"Tannlege Ole Chr. Amundsen AS","Stavanger","51 56 52 50","http://tannforum.no/","info@tannforum.no","ok"
"Tannlegene Hetland AS","Stavanger","51 88 15 80","http://www.tannlegenehetland.no/","post@tannlegenehetland.no","ok"
"Tannlegene i Velværegården","Stavanger","51 89 30 60","http://www.velvaregarden.no/","post@velvaregarden.no","ok"
"Active Branch As","Kristiansand","38 02 23 13","","","ingen nettside"
"Tannlege Torjesen","Kristiansand","38 60 15 51","","","ingen nettside"
"Tenner og Trivsel","Stavanger","51 52 96 18","https://www.tennerogtrivsel.no/","","ingen e-post funnet"
"Tannlege Torbjørn Aareskjold","Stavanger","51 58 86 83","http://www.tannlegeteamet.no/","post@tannlegeteamet.no","ok"
"DMDL TANNKLINIKK & TANNLEGEVAKT","Kristiansand","94 09 99 33","https://dmdldental.no/","post@dmdl.no","ok"
"Industrigata Tannlegesenter","Kristiansand","","","","ingen nettside"
"Syrtveit Dental AS","Kristiansand","38 12 46 46","","","ingen nettside"
"Tannregulering Sør AS","Kristiansand","91 86 10 46","https://www.tannregsor.no/","post@tannregsor.no","ok"
"Randesund Tannlegesenter","Kristiansand","38 14 83 90","","","ingen nettside"
"Tannlegene Røisland og Merde AS","Kristiansand","38 02 99 11","","","ingen nettside"
"Akutt Tannlege","Kristiansand","","","","ingen nettside"
"Torjer Bertelsen","Stavanger","91 19 80 23","https://www.opendi.no/stavanger/74941.html","","ingen e-post funnet"
"Tannlege Dr Sean S Attariani D.M.D.","Kristiansand","94 22 45 91","","","ingen nettside"
"Vali Honarmandi","Kristiansand","38 62 01 40","","","ingen nettside"
"Tannlege Lind AS","Kristiansand","","","","ingen nettside"
"Vennadent Tannklinikk","Stavanger","51 80 00 52","https://vennadent.no/","","ingen e-post funnet"
"Tannlege Håkstad Glad As","Kristiansand","","","","ingen nettside"
"Tinnheia tannlegekontor AS","Kristiansand","38 03 06 88","","","ingen nettside"
"Kjøita tannklinikk","Kristiansand","38 60 35 20","http://www.kjoitatannklinikk.no/","","ingen e-post funnet"
"Jan Trydal","Kristiansand","38 12 06 66","","","ingen nettside"
"Sør Dental","Kristiansand","38 07 00 07","","","ingen nettside"
"Tannlege Tor Myrmel AS","Kristiansand","38 02 73 30","","","ingen nettside"
"Eirik Nesheim Tannlege AS","Kristiansand","38 09 54 10","","","ingen nettside"
"Tannlege Klouman Kristiansand","Kristiansand","38 02 24 63","http://www.tannlegeklouman.no/","post@tannlegeklouman.no","ok"
"Tannlege Løvdal As","Kristiansand","","","","ingen nettside"
"TANNLEGE ANE RIBE NERLAND AS","Kristiansand","48 86 60 00","","","ingen nettside"
"Tor Erling Jahnsen","Kristiansand","90 13 01 47","","","ingen nettside"
"Tannlege Susanne Hou Pedersen","Kristiansand","38 12 09 60","https://tannlegeneigyldenlovesgate.no/","hei@gyldentann.no","ok"
"HELSEHUSET KRISTIANSAND","Kristiansand","","https://www.helsehusetkrs.no/","service@butleren.no","ok"
"Stines Tannklinikk","Fredrikstad","98 03 00 00","","","ingen nettside"
"Tannlege Nguyen Nguyen Nguyen","Fredrikstad","69 31 66 56","","","ingen nettside"
"Dorota Tannlege Mielnicka","Fredrikstad","69 31 25 01","","","ingen nettside"
"Tannlege Bente Bjørklund","Fredrikstad","69 31 93 65","","","ingen nettside"
"Vågsbygd Tannhelsesenter","Kristiansand","38 08 53 52","http://vågsbygdtannlege.com/","","ingen e-post funnet"
"Marianne Hannås Tannlege","Fredrikstad","69 31 17 92","","","ingen nettside"
"Ulf Gerhard Boman","Fredrikstad","69 39 09 00","","","ingen nettside"
"Fredrikstad tannklinikk, avdeling Borge","Fredrikstad","69 11 77 00","","","ingen nettside"
"Tannregulering Kristiansand AS","Kristiansand","38 02 31 90","http://www.tannregulering-krs.com/","post@tannreguleringkrs.no","ok"
"Tannlege Thomas Gjølstad","Fredrikstad","69 31 24 24","http://www.gjoelstad.no/","fredrikstad@colosseum.no","ok"
"Kai B Hannestad","Fredrikstad","69 36 88 00","","","ingen nettside"
"Tannlegene Arntzen Og Langvik","Fredrikstad","","","","ingen nettside"
"Helseklinikken Fredrikstad","Fredrikstad","48 90 37 11","https://helseklinikker.no/","post@helseklinikker.no","ok"
"Tannlegene Steinum","Fredrikstad","69 31 25 27","","","ingen nettside"
"Tannlege Finn Andre Hammer","Fredrikstad","69 36 88 00","","","ingen nettside"
"Tannlege Anne Marte Frestad Andersen","Fredrikstad","98 13 23 82","","","ingen nettside"
"KVADRATUREN TANNREGULERING Eva Hasund","Kristiansand","38 04 85 00","http://helsehusetkristiansand.no/barbel-hasund","service@butleren.no","ok"
"Spesialistklinikk AS","Kristiansand","38 02 55 22","https://spesialistklinikk.com/","post@spesialistklinikk.com","ok"
"Tannlege Homayoun Riazati AS","Fredrikstad","69 31 32 82","","","ingen nettside"
"Christianssand Dentallaboratorium","Kristiansand","38 02 50 25","http://www.chrdental.no/","","ingen e-post funnet"
"Tannlege Annie Munezero","Fredrikstad","45 06 08 80","","","ingen nettside"
"Tannlege Albena Simeonova Popova","Fredrikstad","69 31 01 43","","","ingen nettside"
"Denta AS","Fredrikstad","69 31 53 73","","","ingen nettside"
"Tannlegene i Fredrikstad","Fredrikstad","69 31 17 92","http://www.tannlegeneifredrikstad.no/","tannlegeneifredrikstad@gmail.com","ok"
"A. Varreng tannklinikk","Fredrikstad","69 31 79 79","http://tannlegevarreng.no/","andersvarreng@hotmail.com","ok"
"Dentistry AS","Fredrikstad","69 31 83 00","","","ingen nettside"
"Svein Yngvar Lund","Fredrikstad","92 83 89 11","","","ingen nettside"
"Anna Simeonova Popova","Fredrikstad","45 07 87 38","","","ingen nettside"
"Balder tannklinikk As","Fredrikstad","69 31 51 00","http://www.b-t.no/","andreas@b-t.no","ok"
"Ørebekk Tannklinikk (tannlege Vidar Rønning)","Fredrikstad","69 31 76 17","http://tannlegeronning.no/","post@orebekktannklinikk.no","ok"
"Annas Tannklinikk","Fredrikstad","69 31 01 43","https://www.annastannklinikk.no/","","ingen e-post funnet"
"Kråkerøytannlegene AS","Fredrikstad","69 33 11 16","https://www.kråkerøytannlegene.no/","","ingen e-post funnet"
"Geir Olav Klette","Sandnes","51 66 46 13","","","ingen nettside"
"Kambo Tannklinikk","Fredrikstad","69 25 25 00","http://www.kambotannklinikk.no/","mymail@mailservice.com","ok"
"Tannlege Avan Bamerni","Sandnes","48 04 46 70","","","ingen nettside"
"Elvebredden Tannlegesenter","Kristiansand","38 09 27 00","http://www.elvebredden-tannlegesenter.no/","","ingen e-post funnet"
"Marit O Meling","Sandnes","51 97 27 37","","","ingen nettside"
"Tannlegene Meling & Gjersem","Sandnes","51 97 27 37","","","ingen nettside"
"Tannlege Martin Kretschmar","Sandnes","51 68 14 00","","","ingen nettside"
"Tannlege May Brit Høyvik","Sandnes","","","","ingen nettside"
"Tannlege Jan Skram Ellingsen","Sandnes","51 66 28 03","","","ingen nettside"
"Tannlege Guttorm Haug","Sandnes","","","","ingen nettside"
"Bernt Vidar Vagle - Tannlege","Sandnes","51 68 14 00","http://tannlegevagle.no/","post@tannlegevagle.no","ok"
"Jan Helge Brandsdal","Sandnes","51 62 49 96","","","ingen nettside"
"Tannlege Irma Hidanovic","Fredrikstad","99 33 22 00","https://www.linkedin.com/authwall?trk=ripf&trkInfo=AQFGhDw-wzzMWwAAAXc_4fkwLvvBAEYzkIjuVTQDufF5rnaUl1_FVckhxQtoRnRXeR66P6iefY7nxmo0NY4zxhxSjN3_2qwwiq91NebQCmrIqD05RaywQ2YUQBq9F4vV8E-bBVY=&originalReferer=https://www.google.com/&sessionRedirect=https%3A%2F%2Fno.linkedin.com%2Fin%2Firma-hidanovic-glumcevic-b461971b6","","ingen e-post funnet"
"Tannbygget","Tromsø","","","","ingen nettside"
"Tannlege Ranghild Hesla Breie AS","Tromsø","97 53 33 70","","","ingen nettside"
"Tannlege Urd Lilleng AS","Tromsø","97 77 41 40","","","ingen nettside"
"Tannlege Kristin Camilla Olsen","Tromsø","77 68 49 31","","","ingen nettside"
"Sigmund Rønneberg","Sandnes","51 67 76 25","https://tannlegeronneberg.no/","post@tannlegeronneberg.no","ok"
"Østfoldhallen Tannklinikk","Fredrikstad","40 06 15 15","https://www.ostfoldhallentannklinikk.no/","ostfoldhallentannklinikk@hotmail.com","ok"
"Tannlege Hans Are Ovanger","Tromsø","93 40 14 90","","","ingen nettside"
"Tannlege Fahri M Demirbas AS","Sandnes","48 04 46 70","https://tannlegefahri.no/","tannlege.fahri@outlook.com","ok"
"Tannlege Bjørn Jakobsen","Tromsø","77 68 72 32","","","ingen nettside"
"Bai Tannhelseklinikken AS","Tromsø","45 00 82 60","","","ingen nettside"
"Tannlege Guro Møller AS","Tromsø","97 19 83 75","","","ingen nettside"
"Tannlege Auli Maria Takarautio","Tromsø","46 98 51 84","","","ingen nettside"
"MNTF Tannlege Camilla Bomstad","Tromsø","77 68 18 60","","","ingen nettside"
"Tannlege Nikola Azanjac","Tromsø","95 18 37 35","","","ingen nettside"
"Tannlege Linn Flatli AS","Tromsø","99 60 52 18","","","ingen nettside"
"Tannlege Tone Kuzmiszyn","Tromsø","","","","ingen nettside"
"Kari Mette Andersen","Tromsø","92 22 99 01","","","ingen nettside"
"Tannlege Nils John Somby","Tromsø","47 62 22 33","","","ingen nettside"
"Manstad Tannklinikk","Fredrikstad","69 31 60 60","https://manstadtannklinikk.no/","post@manstadtannklinikk.no","ok"
"Dental Pluss AS","Sandnes","94 83 68 00","https://dentalpluss.no/","hans-otto@dentalpluss.no","ok"
"Implantat klinikken AS","Tromsø","77 66 10 20","http://www.implantatklinikken.no/","epost@implantatklinikken.no","ok"
"Kjeveortoped Brusveen AS","Trondheim","73 52 14 17","http://kjeveortoped-brusveen.no/","post@kjeveortoped-brusveen.no","ok (2. pass)"
"Tannlege Kjetil Pedersen","Sarpsborg","69 14 50 05","http://www.tannlegepedersen.no/","","ingen e-post funnet"
"Clinident Tannlege Agnieszka Aleksandra Nordhagen","Sarpsborg","69 15 02 01","","","ingen nettside"
"Tannlege Rønneberg","Sandnes","47 99 88 77","http://tannlegerønneberg.no/","post@tannlegeronneberg.no","ok"
"Tannlege Dilshad","Sarpsborg","","","","ingen nettside"
"Malin Ludvigsen","Sarpsborg","95 99 93 67","","","ingen nettside"
"Sarpsborg tannklinikk","Sarpsborg","69 11 77 00","https://ofk.no/tjenester/tannhelse/tannklinikker/","post@ofk.no","ok"
"Tannklinikk1 AS","Tromsø","77 61 08 02","http://tannklinikk1.com/","post@tannklinikk-1.no","ok"
"Tannlege Kjærstad","Tromsø","77 68 31 88","http://tannlegekjaerstad.no/","resepsjon@tannlegekjaerstad.no","ok"
"Siri Birgit Willersrud","Sarpsborg","69 15 30 67","","","ingen nettside"
"Magne Tannlege Kjelsberg","Sarpsborg","69 12 15 61","","","ingen nettside"
"Tannlegespesialistene AS","Tromsø","77 28 01 00","http://www.tannlegespesialistene.no/","post@tannlegespesialistene.no","ok"
"Turid Johanne Schille","Sarpsborg","69 14 18 32","","","ingen nettside"
"Tannlege Veslemøy","Sarpsborg","69 12 15 60","https://www.tannlegerinorge.no/tannleger.asp?CMD=Fylke&Fylke=1&S=5","post@tannlegerinorge.no","ok"
"Odd Arild Liholt","Sarpsborg","97 01 71 73","","","ingen nettside"
"Lars Resberg","Sarpsborg","69 14 50 05","","","ingen nettside"
"Fylkestannlegen i Østfold","Sarpsborg","69 11 70 00","","","ingen nettside"
"Dag Messel AS","Sarpsborg","69 15 32 84","","","ingen nettside"
"Øyvind Auensen","Sarpsborg","69 14 90 31","","","ingen nettside"
"Jon Einar Gjerde","Sarpsborg","69 12 15 62","","","ingen nettside"
"Amin Homayouni","Sarpsborg","95 96 15 71","","","ingen nettside"
"Storbyen tannklinikk 2","Sarpsborg","45 95 52 68","","","ingen nettside"
"Tannlege Igland","Sarpsborg","69 22 12 05","","","ingen nettside"
"Per Olaf Toftner","Sarpsborg","48 24 18 52","","","ingen nettside"
"Tannlege Svein Thomas Halvorsen","Sarpsborg","69 13 09 30","http://www.tryggtannbehandling.no/Om-oss/Tannleger-og-tannpleiere/Tannlege-Svein-Thomas-Halvorsen/","","ingen e-post funnet"
"Tannlege Britt Aarstad Kalve","Skien","35 52 95 22","http://aarstadholler.no/","","ingen e-post funnet"
"Tannlegene Wevelstad","Sarpsborg","69 12 02 05","http://www.wevelstad.no/","","ingen e-post funnet"
"Hanna Kern Dental AS","Skien","35 49 97 99","","","ingen nettside"
"Tannlegene Prestegaard & Ådalen - Sarpsborg","Sarpsborg","69 16 00 00","http://www.tannik.no/","sarpsborg@orisdental.no","ok"
"Kirsten B Aanesen","Skien","35 52 04 69","","","ingen nettside"
"Moreau William Tannlege","Skien","35 51 96 04","","","ingen nettside"
"Carsten Aas","Skien","92 03 61 01","","","ingen nettside"
"GrålumTannlegene i Sarpsborg","Sarpsborg","69 14 57 55","http://www.graalumtannlegene.no/","post@graalumtannlegene.no","ok"
"Berntsen Tannlegesenter","Skien","35 52 20 60","","","ingen nettside"
"H&G Tannhelse med tannlege Hilde Ekholt Byrkjeflot","Skien","35 52 07 01","","","ingen nettside"
"Lars Petter Røise","Skien","35 52 83 62","","","ingen nettside"
"Ståle Bentsen","Skien","41 40 00 85","","","ingen nettside"
"Tannlege Nima Tehrani","Skien","35 52 60 72","","","ingen nettside"
"Skien Oralkirurgiske klinikk AS","Skien","35 54 43 70","","","ingen nettside"
"Eilef Landsverk","Skien","35 51 96 03","","","ingen nettside"
"Tannlege Nils Jacob Erichsen","Skien","35 52 95 22","","","ingen nettside"
"Are Westlie","Skien","35 52 27 10","","","ingen nettside"
"Tannhelsetenesta, den Offentlege Spesialisttannklinikken Skien","Skien","35 58 39 30","","","ingen nettside"
"Tannlege Coldevin AS","Ålesund","70 14 02 37","","","ingen nettside"
"Hege Leikanger","Ålesund","","","","ingen nettside"
"Glade smil Tannlege AS","Sandnes","45 91 10 20","http://www.gladesmil32.no/","","ingen e-post funnet"
"Tannlege Stanimir Kamenov - Skansen Tannlegekontor","Ålesund","99 49 22 39","","","ingen nettside"
"Tannlege Lena Godø","Ålesund","70 27 02 00","","","ingen nettside"
"Skansen Tannlegekontor","Ålesund","99 49 22 39","","","ingen nettside"
"Dento2 As","Ålesund","70 11 44 99","","","ingen nettside"
"Fredrik Skodje","Ålesund","94 20 48 91","","","ingen nettside"
"Tannlege Thomas Røn","Ålesund","70 14 18 55","","","ingen nettside"
"Geir Sæther Slettvoll","Ålesund","70 15 26 40","","","ingen nettside"
"Skodje tannklinikk AS","Ålesund","70 27 53 40","","","ingen nettside"
